Scenario Information
Number of IoT Nodes,30
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.67571850911206,154,92.66666666666667,1.0,4134.845987157283,0,40.53786897659302
Individual AoIs for Seed,42
IoT 1,152,t_gen=6
IoT 2,78,t_gen=17
IoT 3,78,t_gen=17
IoT 4,97,t_gen=8
IoT 5,7,t_gen=5
IoT 6,154,t_gen=4
IoT 7,134,t_gen=3
IoT 8,30,t_gen=11
IoT 9,91,t_gen=14
IoT 10,83,t_gen=12
IoT 11,75,t_gen=20
IoT 12,87,t_gen=18
IoT 13,34,t_gen=7
IoT 14,130,t_gen=7
IoT 15,144,t_gen=14
IoT 16,147,t_gen=11
IoT 17,85,t_gen=20
IoT 18,78,t_gen=17
IoT 19,6,t_gen=12
IoT 20,120,t_gen=17
IoT 21,94,t_gen=1
IoT 22,148,t_gen=10
IoT 23,23,t_gen=18
IoT 24,138,t_gen=20
IoT 25,75,t_gen=20
IoT 26,34,t_gen=7
IoT 27,119,t_gen=18
IoT 28,126,t_gen=11
IoT 29,79,t_gen=16
IoT 30,134,t_gen=3

50,0.6586754732076066,156,90.5,1.0,3726.6395517976284,0,34.025068044662476
Individual AoIs for Seed,50
IoT 1,152,t_gen=4
IoT 2,24,t_gen=11
IoT 3,55,t_gen=10
IoT 4,143,t_gen=13
IoT 5,54,t_gen=2
IoT 6,36,t_gen=20
IoT 7,25,t_gen=10
IoT 8,53,t_gen=3
IoT 9,17,t_gen=18
IoT 10,29,t_gen=6
IoT 11,16,t_gen=19
IoT 12,153,t_gen=3
IoT 13,139,t_gen=17
IoT 14,96,t_gen=17
IoT 15,138,t_gen=18
IoT 16,145,t_gen=11
IoT 17,145,t_gen=11
IoT 18,97,t_gen=13
IoT 19,90,t_gen=20
IoT 20,149,t_gen=7
IoT 21,106,t_gen=4
IoT 22,46,t_gen=10
IoT 23,108,t_gen=2
IoT 24,48,t_gen=8
IoT 25,154,t_gen=13
IoT 26,154,t_gen=2
IoT 27,156,t_gen=0
IoT 28,92,t_gen=18
IoT 29,54,t_gen=11
IoT 30,41,t_gen=15

55,0.5274423450303386,113,67.7,1.0,3712.3603468350093,0,34.67228937149048
Individual AoIs for Seed,55
IoT 1,45,t_gen=15
IoT 2,50,t_gen=12
IoT 3,97,t_gen=17
IoT 4,54,t_gen=8
IoT 5,28,t_gen=0
IoT 6,59,t_gen=1
IoT 7,42,t_gen=20
IoT 8,104,t_gen=6
IoT 9,33,t_gen=0
IoT 10,113,t_gen=9
IoT 11,55,t_gen=7
IoT 12,53,t_gen=7
IoT 13,56,t_gen=6
IoT 14,49,t_gen=13
IoT 15,57,t_gen=3
IoT 16,112,t_gen=2
IoT 17,106,t_gen=8
IoT 18,108,t_gen=2
IoT 19,99,t_gen=15
IoT 20,45,t_gen=17
IoT 21,16,t_gen=12
IoT 22,57,t_gen=5
IoT 23,55,t_gen=7
IoT 24,96,t_gen=11
IoT 25,99,t_gen=11
IoT 26,113,t_gen=1
IoT 27,54,t_gen=15
IoT 28,46,t_gen=16
IoT 29,75,t_gen=6
IoT 30,55,t_gen=5

60,0.6639723217155928,148,86.56666666666666,1.0,4346.422502944542,0,36.763025999069214
Individual AoIs for Seed,60
IoT 1,32,t_gen=5
IoT 2,130,t_gen=20
IoT 3,145,t_gen=5
IoT 4,36,t_gen=4
IoT 5,97,t_gen=18
IoT 6,41,t_gen=9
IoT 7,33,t_gen=7
IoT 8,142,t_gen=8
IoT 9,42,t_gen=8
IoT 10,144,t_gen=6
IoT 11,139,t_gen=16
IoT 12,28,t_gen=12
IoT 13,47,t_gen=3
IoT 14,48,t_gen=2
IoT 15,30,t_gen=10
IoT 16,138,t_gen=12
IoT 17,81,t_gen=5
IoT 18,36,t_gen=14
IoT 19,132,t_gen=18
IoT 20,142,t_gen=8
IoT 21,30,t_gen=7
IoT 22,102,t_gen=13
IoT 23,50,t_gen=0
IoT 24,114,t_gen=1
IoT 25,80,t_gen=6
IoT 26,137,t_gen=13
IoT 27,108,t_gen=7
IoT 28,140,t_gen=10
IoT 29,148,t_gen=7
IoT 30,25,t_gen=15

65,0.6806885412133905,150,88.13333333333334,1.0,4559.322868875623,0,35.96619701385498
Individual AoIs for Seed,65
IoT 1,43,t_gen=17
IoT 2,142,t_gen=15
IoT 3,57,t_gen=3
IoT 4,25,t_gen=4
IoT 5,118,t_gen=4
IoT 6,90,t_gen=20
IoT 7,128,t_gen=20
IoT 8,147,t_gen=1
IoT 9,112,t_gen=10
IoT 10,140,t_gen=8
IoT 11,27,t_gen=2
IoT 12,122,t_gen=0
IoT 13,104,t_gen=18
IoT 14,16,t_gen=4
IoT 15,112,t_gen=10
IoT 16,85,t_gen=11
IoT 17,102,t_gen=20
IoT 18,58,t_gen=2
IoT 19,143,t_gen=5
IoT 20,150,t_gen=2
IoT 21,11,t_gen=18
IoT 22,70,t_gen=17
IoT 23,102,t_gen=20
IoT 24,91,t_gen=5
IoT 25,107,t_gen=15
IoT 26,71,t_gen=16
IoT 27,118,t_gen=4
IoT 28,6,t_gen=17
IoT 29,80,t_gen=16
IoT 30,67,t_gen=1

85,0.601723588176094,119,89.53333333333333,1.0,4426.847409649706,0,34.063173055648804
Individual AoIs for Seed,85
IoT 1,112,t_gen=17
IoT 2,111,t_gen=18
IoT 3,77,t_gen=13
IoT 4,38,t_gen=2
IoT 5,76,t_gen=14
IoT 6,96,t_gen=7
IoT 7,116,t_gen=13
IoT 8,85,t_gen=5
IoT 9,104,t_gen=16
IoT 10,96,t_gen=7
IoT 11,119,t_gen=10
IoT 12,102,t_gen=1
IoT 13,53,t_gen=5
IoT 14,85,t_gen=5
IoT 15,85,t_gen=5
IoT 16,76,t_gen=14
IoT 17,95,t_gen=8
IoT 18,20,t_gen=20
IoT 19,73,t_gen=17
IoT 20,86,t_gen=4
IoT 21,118,t_gen=9
IoT 22,95,t_gen=8
IoT 23,118,t_gen=2
IoT 24,86,t_gen=4
IoT 25,71,t_gen=19
IoT 26,79,t_gen=13
IoT 27,110,t_gen=19
IoT 28,116,t_gen=13
IoT 29,96,t_gen=7
IoT 30,92,t_gen=11

90,0.652493470065372,135,81.96666666666667,1.0,4881.868117836473,0,40.85111737251282
Individual AoIs for Seed,90
IoT 1,77,t_gen=8
IoT 2,51,t_gen=4
IoT 3,43,t_gen=12
IoT 4,123,t_gen=4
IoT 5,57,t_gen=1
IoT 6,93,t_gen=16
IoT 7,135,t_gen=3
IoT 8,55,t_gen=0
IoT 9,52,t_gen=5
IoT 10,68,t_gen=17
IoT 11,86,t_gen=2
